,error_mean,error_std,R2,R2-dim3_mean,R2-dim3_std
S to S,"[0.14894186795661166, 0.04654168761611632, 0.06071618280669997, 0.0786704449159624, 0.06203005674937141, 0.04308860855682, 0.09153031753054165, 0.08268697763242573, 0.08618112496833695, 0.06529532407524738, 0.04972724483091595, 0.03740278055651565, 0.09026869213245192, 0.07189319999563515, 0.09427337590676058, 0.10693711760075515, 0.04872536286224458, 0.04306420729580058, 0.11403471110921796, 0.04039354125734198, 0.10286359862456698, 0.040607288840361445, 0.13691636015441852, 0.04001874307150334, 0.07477092678225429, 0.05572821559132335, 0.06771539486293017, 0.03074448634284085, 0.07187981820357894, 0.025336780649884434, 0.11626363243171502, 0.11508192391801401, 0.10864918408141663, 0.041750186561283584, 0.03584495454298478, 0.04981831521475172, 0.06264710797130588, 0.05600532173175416, 0.025211049165391523, 0.09351407490333764, 0.06346686322740472, 0.0862765291768768, 0.06731947573654641, 0.12050721482446367, 0.05770373565401979, 0.08376111554600801, 0.06156998342245391, 0.10517357998145462, 0.07362883770933433, 0.07567385225191987, 0.051391498036423, 0.08652806210728735, 0.035075433343406286, 0.04816678927205171, 0.025332699841058612, 0.07152005055584615, 0.04377041745106012, 0.08460591835621444, 0.09112640504377986, 0.06849532114111234, 0.12050995127173829, 0.07079542955035485, 0.06525662110733128, 0.06438089108744774, 0.09285461150761913, 0.13962217548026815, 0.1314264389328594, 0.07440129691382301, 0.02669215291228037, 0.0953270422347752, 0.07612322354849214, 0.0595274029734847, 0.07026217237095055, 0.05023450808351291, 0.10836911944546841, 0.06759916803899083, 0.04504625422538459, 0.04188058569689546, 0.07288537779783776, 0.03813578854262889, 0.05857717593570614, 0.030676552710823434, 0.04285643661938558, 0.059683942430171916, 0.047987836716289096, 0.03369238319775036, 0.057259558684952576, 0.09698627351451455, 0.06086890216362514, 0.06595492955648, 0.07566443932801312, 0.053192434753223085, 0.05382507755114498, 0.10714651304124065, 0.08610218220700673, 0.04645981688538613, 0.08899413627243839, 0.09404857075613901, 0.05065706631291007, 0.036710298376896065]","[0.07477612188395014, 0.022203829362721934, 0.033778025416395095, 0.027768094128023904, 0.038580067548340743, 0.02149939999337627, 0.04778327069841007, 0.03428882334282808, 0.03921619944605216, 0.03823421964449849, 0.024786965150018145, 0.01815760853744754, 0.042057807647838966, 0.024136184922142624, 0.032253761373692014, 0.04697895700762797, 0.030443422963725198, 0.0226917320636651, 0.054268531211377286, 0.03285248031464324, 0.04958206936702575, 0.02464180702585773, 0.04995937104075236, 0.02336983998511691, 0.048152500870491735, 0.02951594065899656, 0.03612348600106925, 0.015696070393842767, 0.02903207426152843, 0.014338720321219838, 0.035943902581792586, 0.053546515285972596, 0.05078540984781226, 0.019891316555421704, 0.022042571769036266, 0.02724825231767058, 0.032408666170371705, 0.02164937926317496, 0.01012674036765857, 0.04172651381656974, 0.03632666296972761, 0.03533606107133367, 0.031178173217316973, 0.060881585036466714, 0.03206720663517024, 0.04998505775200615, 0.024411721061859435, 0.05913800818968977, 0.03224899580796351, 0.029288579187956538, 0.030151355971985462, 0.03907873249554824, 0.019935856594754123, 0.02884222421981609, 0.012508380940029372, 0.03279140346545914, 0.016957463376750567, 0.0323085922508771, 0.04084119632979578, 0.026617495462976485, 0.05384460849913409, 0.028870047113361736, 0.022593296091157688, 0.035184827737047744, 0.032810433813168234, 0.06819079742347588, 0.06838301796184876, 0.034551638620737256, 0.01189587515088123, 0.039560888633024885, 0.03162811043794225, 0.030750504176366055, 0.030880772402204576, 0.024705602098522517, 0.03576782724693567, 0.028607931674534917, 0.027451668699521734, 0.021269799533730635, 0.02833319158538627, 0.01721924185924735, 0.02622231360593152, 0.013901749980789278, 0.023041122420131885, 0.019891098602947667, 0.02669647318037997, 0.014700269912706392, 0.027577028998412443, 0.04337840551466039, 0.02400040935787157, 0.02805866757481038, 0.03041687263591303, 0.028726442073180668, 0.024194243088626357, 0.04839819153759731, 0.030607814072147514, 0.018340450987461215, 0.047373368042032446, 0.043919932627918754, 0.022148105093270302, 0.020026107022409912]","[0.6833882711065742, 0.9775547133829047, 0.7214361726603601, 0.9570319240713456, 0.7472209649775772, 0.9187572065964502, 0.8145604642392476, 0.8954393169267257, 0.6518682081635376, 0.9170089444814684, 0.8916812146826183, 0.9112512928760108, 0.9715880615273006, 0.8869229296123375, 0.8694060696627904, 0.8735163171436655, 0.7852690841176894, 0.7233119432598828, 0.8774628024681652, 0.7219890847303387, 0.6545417360945553, 0.8969508394300784, 0.7001914889488245, 0.7833439206061421, 0.7119948322942639, 0.9743826855450891, 0.7588081611396593, 0.9780397476724941, 0.6843116521184609, 0.9613334139502665, 0.7452295437989651, 0.8758340753650412, 0.8227536492439584, 0.9557740487490257, 0.898908465537545, 0.6936759919666458, 0.7486911871045987, 0.717995681028545, 0.9655493365560106, 0.7157451753986244, 0.8407980619287118, 0.9115776082939782, 0.7509795501583164, 0.9290830209810862, 0.7416721008603615, 0.9409648183116307, 0.948785184511233, 0.7100484002639869, 0.7940785623306501, 0.8885953151982445, 0.7672176590951929, 0.9316333289528099, 0.9180802856046751, 0.9303879715147078, 0.8865344039323301, 0.8822631875733608, 0.7762952850258521, 0.7778413911627535, 0.8274344355748854, 0.8880203214212858, 0.6544295525872552, 0.7634119208291451, 0.9783333661255377, 0.8049006618421177, 0.7049181377041445, 0.8169534172222745, 0.8683154646549843, 0.8028521442422345, 0.8194370030410779, 0.7551662865012253, 0.9180258124885073, 0.8465976148125403, 0.935516950507278, 0.7334355400949686, 0.9281266563619368, 0.8683528000208651, 0.8944143811037264, 0.8886314293139236, 0.6354047861741929, 0.9614951112932701, 0.9201337290827822, 0.9663543089698508, 0.8592564318835458, 0.7763701448783505, 0.8516038331328296, 0.9705947247098902, 0.9454943772706172, 0.6530109340876848, 0.9606550666049124, 0.8846798571613388, 0.8966336614239276, 0.8241473267576798, 0.8273439590497015, 0.7026133079565865, 0.7569902808626461, 0.667551144368087, 0.9299378501643707, 0.7658951330634018, 0.9638161268141637, 0.8289361831103206]",,
S to G,"[0.06878016330996081, 0.11638578087486036, 0.10350135501070486, 0.06053237675085599, 0.03892360415457596, 0.11536479597771074, 0.06541613396984759, 0.0752897404366499, 0.0877785146630973, 0.03164741276436123, 0.03983779096133141, 0.05136556274731343, 0.06030971388918806, 0.11348155718451641, 0.08076675235189265, 0.04982229392517931, 0.029386125820336055, 0.06479571367033506, 0.09889011679356778, 0.0989166000427687, 0.10727614396958586, 0.07313014959496951, 0.039120288219435036, 0.045209750740631764, 0.05907464042570851, 0.0672832100916725, 0.13617468117701056, 0.053529816814260354, 0.14024431552613525, 0.05230478019988401, 0.04590521828789498, 0.0841247192808035, 0.07088716483926588, 0.04284775252352095, 0.034714784629083215, 0.05714140989688837, 0.1275044832056128, 0.0973051470951531, 0.07660819130821181, 0.05116343041120018, 0.054703199718478715, 0.11210024668782657, 0.08059603644890416, 0.028733410332444784, 0.05485886719595866, 0.08769019395537954, 0.10264819899016984, 0.12263537537137202, 0.030338028540552422, 0.05494992640899413, 0.04865012422512662, 0.08307379271860066, 0.05713722369365698, 0.07076009005649908, 0.03664383718004287, 0.07643686584585063, 0.03967910880532341, 0.10216001708107132, 0.05535974306035125, 0.03491068297598357, 0.0547389723318105, 0.04337641676350134, 0.031579564594460596, 0.107858004216855, 0.06988213387880193, 0.050515195514500476, 0.061445975889142884, 0.06897674877646724, 0.052367639284153125, 0.12008595042468098, 0.11724061753276553, 0.0333747361966338, 0.08375799977423354, 0.06738379798666416, 0.11576058602770133, 0.06820714556485381, 0.09804994076218229, 0.024346270116408063, 0.05952591517648683, 0.0330595573041615, 0.09105074117027834, 0.102143003075833, 0.02893911826453716, 0.0988879663817616, 0.03871300879585184, 0.03826212205831361, 0.06539610978077899, 0.02614461436016697, 0.13908675057244566, 0.08404593657423944, 0.05107105710725935, 0.043655389384610464, 0.03658054254202158, 0.06071560921566209, 0.06554870254361979, 0.11064104425081973, 0.08596317736850563, 0.03751296106532615, 0.020312621528508018, 0.03998553338434529]","[0.029586051765934106, 0.026432289462887757, 0.025484814537664362, 0.021562176821982974, 0.01525538484000146, 0.03354349144314508, 0.028776664966200054, 0.025806151564144654, 0.04035005337831502, 0.015512794231810872, 0.018519718224944533, 0.023065799415237564, 0.02571398576248128, 0.04180852134794256, 0.04791918637024171, 0.030123667472752615, 0.01433798423491064, 0.0381951300545727, 0.061879350013705675, 0.038729890209684474, 0.0346051807807782, 0.03763363668037862, 0.017502507844400474, 0.01969205023287628, 0.02499534957132138, 0.042995212381674315, 0.054725086204094116, 0.018518192725118742, 0.06701250660282357, 0.029792338033156413, 0.018104919353765174, 0.04187343264323012, 0.032994161414098166, 0.018110226226928115, 0.01680897009358232, 0.019809263502191327, 0.05831842212406483, 0.037784525709247466, 0.029258446679160204, 0.023250741884197214, 0.03125460562247138, 0.0505313934043137, 0.03690992742091825, 0.013922579925310003, 0.02859685508221916, 0.04031388850391885, 0.031954476070416384, 0.04897111796015452, 0.017826766012861036, 0.025557105820093923, 0.0281515930188507, 0.037359816296121624, 0.025483834135182615, 0.019402488972045294, 0.016509586593788754, 0.03019968622863479, 0.022479109992418016, 0.04984504253019167, 0.027657054479812097, 0.015505420704588135, 0.020121939007066644, 0.02852480474117284, 0.015524909479758937, 0.03885698450869354, 0.01702946311407268, 0.023628709959618955, 0.03536969349026482, 0.034263270041934316, 0.028309942134048322, 0.05755254185644858, 0.04293781755364037, 0.01892242760624289, 0.020555449689567233, 0.029193963892457517, 0.010352008317741843, 0.028220801934380695, 0.050435683864595265, 0.011895785472380729, 0.021783296153145056, 0.01960203160223997, 0.06009286082467827, 0.04165230432217423, 0.009577212833012229, 0.04138004081597677, 0.022773622910479133, 0.013277299548155772, 0.028288818300490615, 0.017325203303263443, 0.0725972047879238, 0.03503332371329586, 0.028306560373126767, 0.018498232591877724, 0.014568623316134748, 0.02790109287691069, 0.028942665320009987, 0.03026840883501903, 0.06160734968458702, 0.021919457015023985, 0.009778279503500634, 0.01453924183657159]","[0.9563519700549804, 0.8160831798914561, 0.7977081848508049, 0.8343248905766775, 0.9651949319443602, 0.7435643245123911, 0.9848491999212712, 0.9082094283635691, 0.650249411843071, 0.9789252273227993, 0.9726884632922734, 0.8891540826252549, 0.9585265775935559, 0.9628913423344739, 0.7199827604145452, 0.9813769610636637, 0.8923221453523205, 0.6974616338604597, 0.957539218602618, 0.8395376585777307, 0.9517354066852265, 0.8083948088746503, 0.8689943999178278, 0.8653266085518816, 0.9716031602488, 0.8802985275444657, 0.8183833282822242, 0.988136552485259, 0.8388789981777383, 0.7141539273704002, 0.9764207185725475, 0.7769093918667835, 0.8607415651277446, 0.9791476249263331, 0.9476034758061568, 0.6641461147305876, 0.9130894113719942, 0.9371119375083368, 0.9515203040493827, 0.9075192808277045, 0.9096089623414552, 0.7244614550455934, 0.618668686078194, 0.9802986587496758, 0.7356158971819096, 0.9465021913989661, 0.876366421010052, 0.9282360479243709, 0.9588749444721971, 0.9765926379186588, 0.9473296255373806, 0.6733083518892647, 0.8729389420251966, 0.9021601012121548, 0.9173337886476546, 0.9497606972405505, 0.8598120939709478, 0.7861720741232252, 0.4927126891898885, 0.7975530145573166, 0.9371515042292922, 0.9883115499616192, 0.9841719332957135, 0.7649667302489945, 0.9822492263969897, 0.9025331058091931, 0.9562578073506769, 0.9238808121544573, 0.966461830911771, 0.9121672149049644, 0.839183739502858, 0.9104144574347854, 0.956426247621328, 0.9613184086605104, 0.945692087735005, 0.8126558089127484, 0.9027972613426583, 0.8909850383429966, 0.9738266055340865, 0.9416330340072655, 0.8646325128589754, 0.9216219650223254, 0.9708900953674927, 0.9616346313718209, 0.9772910109935149, 0.9899950914032687, 0.9332779530949289, 0.9315288265945698, 0.9135877242129453, 0.8796019896068058, 0.8313803730474169, 0.9029894792305212, 0.9309091626286279, 0.9710068835371475, 0.8477900768492838, 0.8744181784302476, 0.9194670819160817, 0.9704566762266282, 0.9732935370013008, 0.9128633690686179]",,
S to A,"[0.107362302692554, 0.07764024243413985, 0.09600432828926347, 0.02583735061330539, 0.06093096936824803, 0.09670613182664523, 0.03876572398767317, 0.0961763458873252, 0.12361800642580548, 0.053882882079630594, 0.09729827955717078, 0.13206870841414098, 0.07960343497552971, 0.1539297029051047, 0.09918497586316383, 0.10385119727578862, 0.05488202997884689, 0.11577137147550692, 0.05699275149421739, 0.07203748136689075, 0.047684050737975894, 0.10747768489787461, 0.09423880293584373, 0.05070912770724926, 0.06887947220252179, 0.02815901874627545, 0.11646050166849699, 0.08206247427658818, 0.06163908805678237, 0.08779642090681526, 0.09874383648093306, 0.09155200457873726, 0.11141375612937324, 0.06429345436862641, 0.08139426104888936, 0.10592702009337716, 0.10785305623221285, 0.07364300288733582, 0.05316002624797655, 0.028125786911352615, 0.08431872796813272, 0.10655667642519756, 0.038706276126251535, 0.11010194296246674, 0.054117265358900726, 0.051042979331251244, 0.049681894966727855, 0.11836518398134283, 0.08034193266296362, 0.11652772573091634, 0.05064062799932216, 0.12837215579300784, 0.0988683608242162, 0.08563891404049538, 0.04699615745949187, 0.04742501066361332, 0.13526559283900447, 0.053167364435655395, 0.09295406495827996, 0.1385434587828936, 0.13694410899053253, 0.1379163234111939, 0.08903455508306993, 0.05993816659715401, 0.06965635164022817, 0.020568153974590424, 0.06661230719696033, 0.07677334798908587, 0.06129822016264261, 0.06516989346541098, 0.08156252981416452, 0.10083436480861004, 0.05761794230827093, 0.11815618466056112, 0.10551679633495342, 0.043290402328546994, 0.053560830168864836, 0.0991386809795623, 0.04111005721577794, 0.09097949841180256, 0.031817157640697966, 0.0435107755249534, 0.10036592387008046, 0.06116781318536959, 0.031091456093246757, 0.09247884251474241, 0.06302473444055184, 0.11013149345001215, 0.11117767050668462, 0.06953397653742668, 0.04648598244123588, 0.11479907849453226, 0.1271107424535407, 0.03237432602971649, 0.053756707224346285, 0.10684660459784355, 0.10775056651480697, 0.11686751594229258, 0.10886211318672437, 0.04948496023759517]","[0.05441727595699711, 0.03009812007838357, 0.05338306609019248, 0.010719473772436611, 0.02771256041439864, 0.05270659046377927, 0.019836746383298118, 0.04779925008827766, 0.0629404039640029, 0.017245224712195653, 0.044052738608708106, 0.053646256494663945, 0.03983712185203474, 0.07476191147248185, 0.027867127405639996, 0.05210376448290384, 0.02179886216790583, 0.04993460667464421, 0.025159831389081486, 0.029388111889838014, 0.029499469804004065, 0.052356993001359466, 0.04344510217948189, 0.032764619382937545, 0.023924875591287007, 0.015961885036563993, 0.04220825210433113, 0.04677040554057703, 0.03400238586513695, 0.04553221106437795, 0.026945918213081666, 0.03915035885787083, 0.05746009910711804, 0.029240822814002733, 0.028785076804620422, 0.044075620866231686, 0.0502999022215188, 0.013553267065815153, 0.03196268060291828, 0.01969213425907365, 0.036624385660912064, 0.05063551838457333, 0.019573733869913144, 0.06276040730339322, 0.022237754969863213, 0.016330153790264458, 0.018527441016914427, 0.06387199956326328, 0.02899318762777718, 0.05913170806509811, 0.020112186668028737, 0.053878352350968266, 0.043762168609542, 0.032343896308354284, 0.024261653892238607, 0.018026829317575, 0.0679688937018521, 0.022998894881116297, 0.04079652000734222, 0.06694951619025145, 0.05797542168559365, 0.03573697228291958, 0.01768640328791123, 0.03318147112251411, 0.028906055202596842, 0.01015961045876354, 0.04207731250023533, 0.03281945646172581, 0.038100144322011746, 0.033883790892447294, 0.044089327049699804, 0.03410148420195034, 0.029641796305477013, 0.021228422908530494, 0.048099174094936456, 0.026454576936062787, 0.026727261149649243, 0.0459193607372696, 0.016575906024158035, 0.05062996006554105, 0.01808623225934429, 0.023502288805368317, 0.052367429765120106, 0.022991869807941854, 0.019001302953250553, 0.03384710327463605, 0.03490621504404831, 0.03413499955799432, 0.0637797434393874, 0.0314236251270368, 0.03082333930517805, 0.0480586925971417, 0.0385371363201862, 0.01670433192814343, 0.02085355055683456, 0.046749134109049455, 0.050505535556901654, 0.052873681024929745, 0.055719724537073, 0.028613760756047553]","[0.7487107450601915, 0.9826555866181271, 0.9386888786489969, 0.9716383924571147, 0.6810326657133505, 0.6644722449474415, 0.8785061137206549, 0.9581862530818628, 0.9409432629605536, 0.9676206385157464, 0.9391469911119043, 0.8360892629185768, 0.9434111283588715, 0.6957366366868506, 0.8691999465565126, 0.9074171194753873, 0.7850774438406314, 0.77734810504663, 0.9494073280293952, 0.9538117574045822, 0.9875470419359939, 0.7983479709922457, 0.9289439851869054, 0.42716092841175274, 0.8742221115335589, 0.9888856655265503, 0.7641771062771865, 0.906066303752435, 0.9336560076682208, 0.6243663381230452, 0.8961816163924814, 0.7395477087757495, 0.5931968925249314, 0.9633606616567082, 0.8284953809853608, 0.777374734155732, 0.771187102658992, 0.9769608148626711, 0.9678567186755245, 0.7635362426630723, 0.8239846607756283, 0.6839098941067597, 0.703713334141556, 0.6714913914755126, 0.931283733505801, 0.9850231117958776, 0.96519436713467, 0.6912921979424936, 0.7962286557626778, 0.9309171366843672, 0.9780602343202686, 0.8229572724264373, 0.8482468523933816, 0.7427582418946611, 0.9516843723499708, 0.8563936709356881, 0.7713861022022815, 0.7069739144649307, 0.8614099661230558, 0.7051248180475518, 0.7320725675361602, 0.7561175494931017, 0.9621379374294261, 0.8001073840063395, 0.974347692215747, 0.9700499666004389, 0.8714889711614102, 0.8894085998982068, 0.949873012897114, 0.8522606864876332, 0.9842779880741507, 0.8877591584889869, 0.9177034079065123, 0.9738459606114478, 0.8990282555655469, 0.7295929741920594, 0.779168914283033, 0.8075162394832234, 0.9521339885622805, 0.6194516677544697, 0.9671281919823832, 0.7696163659085644, 0.7898045357048395, 0.9642374029590413, 0.9827689800622921, 0.9889053722641041, 0.6864393728730825, 0.817288435947426, 0.8809779457077453, 0.8859093267063909, 0.8212956843480745, 0.8809756711179715, 0.6858446939242577, 0.9672468010069768, 0.9685444926629285, 0.8196323019673898, 0.9047028573131104, 0.6948382170508041, 0.7937992881365803, 0.8256238119433352]",,
G to S,"[0.09993095902854472, 0.10349620203163147, 0.04485293751416456, 0.03543435562536281, 0.05981439231180718, 0.0299552920027855, 0.06297840184291198, 0.03623897604219255, 0.11662993721499837, 0.035756456875094135, 0.0636669007487398, 0.028373866934397574, 0.1295777784092791, 0.03246779699519562, 0.05894140000738348, 0.06153933977700896, 0.06140212263189233, 0.05748926980990977, 0.07178271266429102, 0.06817984268656031, 0.07207927094165066, 0.06958745912863101, 0.06808771456118426, 0.05060832020681446, 0.07231611750139018, 0.138891342728536, 0.07831684268195409, 0.019332393972041787, 0.07769094091931349, 0.03075084483932171, 0.1280889109183274, 0.09886146950043286, 0.022041409400416108, 0.05030100059491115, 0.07396667285862103, 0.08214086030372339, 0.03851830812394536, 0.03491160738282252, 0.037018470505790955, 0.07249165692678357, 0.12457074498099302, 0.02961551049148575, 0.08398509514629651, 0.11658654576669497, 0.12668080484738758, 0.034992366860370196, 0.07509992186362563, 0.057080988577205075, 0.0707483971342941, 0.14837126039990234, 0.09686412863362574, 0.08617341544284986, 0.07114958710065133, 0.0356417161063268, 0.06342176318739774, 0.10525648828365299, 0.031583036089575196, 0.09185989811315569, 0.07947655990543254, 0.05830109667148509, 0.07702082360993968, 0.08791428396354314, 0.03196550140550365, 0.04772319047719509, 0.12576122968428954, 0.11499124217134486, 0.04179897145789488, 0.07907350652573941, 0.04336247986756179, 0.0484365702156444, 0.04842343025446712, 0.06493004648612723, 0.07766158724006485, 0.06358252709203734, 0.035051567196951225, 0.04250028184103723, 0.031409830005447344, 0.08646542600977543, 0.041194784497542984, 0.037506523144370765, 0.08014712017926136, 0.04139584488807843, 0.057262127649374606, 0.07751556522398304, 0.05138655534856445, 0.07142066469380579, 0.04278141640409409, 0.0650762305828605, 0.07210487053435621, 0.03800940830401554, 0.11331971401270911, 0.06372869591052538, 0.08556957308299884, 0.06083824323765963, 0.08614364711674395, 0.0819187792830947, 0.02953108375656266, 0.11344802312464025, 0.03257997612092987, 0.04672088608266167]","[0.03621206248031511, 0.0469504515733868, 0.0201405740937458, 0.019784743060789315, 0.03632173028214685, 0.022071186247434395, 0.03455051229156879, 0.01778362579871866, 0.061960709989435744, 0.0198797865111057, 0.035926522679617594, 0.014551082234528886, 0.06594382897528608, 0.01386498403723159, 0.030365043671969443, 0.032661753514764726, 0.024719199109795878, 0.024174522351611622, 0.03568329160147682, 0.022742910523905435, 0.029577969032603183, 0.02337993607331886, 0.03356363504168079, 0.021607145423188437, 0.0280133077000387, 0.06605287934052712, 0.040769898392537585, 0.014538510451161927, 0.025417466813859552, 0.013309942167563772, 0.039889165698122536, 0.046168488844038756, 0.010824162930099235, 0.02977629088629203, 0.027336249394031998, 0.027473751955684737, 0.02201742533268363, 0.016936522569233926, 0.012657712004619476, 0.03886962364818091, 0.05912153176316479, 0.01575729966659143, 0.03951950849602442, 0.04857688399632002, 0.055610776712784325, 0.017238768163728095, 0.03224457787070762, 0.03493043227327024, 0.031189357677564596, 0.07346148990141099, 0.016444367244005824, 0.031405824938094726, 0.02922304455506677, 0.017396255016023068, 0.023443710385653974, 0.04738382951024154, 0.01538277392783471, 0.036685784305539385, 0.04786460343807577, 0.02811646582292446, 0.03590756905141449, 0.04128282743177004, 0.01336402138669201, 0.02389097753187072, 0.05343826442085706, 0.05322322582889962, 0.018881650876130286, 0.020548291030639175, 0.018293765384115028, 0.0264668591711775, 0.019329703938269906, 0.02631638823132539, 0.034017090042353225, 0.03478306959388148, 0.013030318418035834, 0.02220519985961282, 0.014159086316814685, 0.030388130596442558, 0.020358311075576455, 0.01356523911458889, 0.03131656519246302, 0.01762088328635035, 0.025519043616533198, 0.03689176346594135, 0.024613413209250163, 0.03796180738126961, 0.019843088744761466, 0.031137312894979344, 0.030635339961682707, 0.02310056850536153, 0.050669754604716705, 0.033837707771692885, 0.02489081924617062, 0.022534867934783424, 0.03673921672736429, 0.03980213828972764, 0.017057411334811368, 0.054420838556494745, 0.015036206251386148, 0.019216208126855185]","[0.7871279398472792, 0.8734288199118371, 0.882373936783521, 0.7448295806555247, 0.6497731509826273, 0.9594210185323471, 0.6363264577482708, 0.9459200014540894, 0.7521937901151858, 0.8703612669974644, 0.9669847973702963, 0.9564246119950223, 0.8963308371299361, 0.9418236829291375, 0.7558221579847426, 0.9350460523540083, 0.7263964725979754, 0.7560876829283772, 0.9481782095627498, 0.7460186089527971, 0.8066180468961981, 0.7950621461863088, 0.766840297339925, 0.8175332991682744, 0.953086618502015, 0.9420424731974018, 0.9485923017510245, 0.9819637388429279, 0.7420419535079945, 0.9816410043541867, 0.6970351439289326, 0.953095789517025, 0.8310317791275661, 0.8620538094080811, 0.9489268396390027, 0.827473656516166, 0.8554639745226817, 0.9803334111098735, 0.9554940876974124, 0.8613737249692448, 0.936907281595083, 0.9726350556437016, 0.695022281501224, 0.7783434303571573, 0.9066700687490391, 0.9869178512508222, 0.7946933042162453, 0.6416239821200661, 0.8369891136717283, 0.9119968239348365, 0.6994218352593744, 0.8564839543218083, 0.9265505190662242, 0.966804277463793, 0.7460574023428101, 0.9763972392603242, 0.95461881110553, 0.9637399776716038, 0.6954192366405052, 0.9320664453056926, 0.9313758899276333, 0.666837475666511, 0.9685316303994409, 0.8487591858333594, 0.8869246228218038, 0.9113130056598484, 0.9359358670043798, 0.7408190060416342, 0.7372780613683909, 0.6745866542711266, 0.854711674314142, 0.7216597472219198, 0.9647971438149325, 0.6863581467348506, 0.8144831261567005, 0.8677185387082144, 0.9311684619250796, 0.5996388562385173, 0.8919644737774497, 0.7571502116853346, 0.9830829306422195, 0.951458060348372, 0.95301975913165, 0.8908217210537192, 0.8839009541504297, 0.9090463677849792, 0.8782410423073269, 0.9735410488443776, 0.9856500472694789, 0.711114676857747, 0.8271243423152406, 0.7180657502316041, 0.7077368336454932, 0.8080047609501685, 0.8413777887955455, 0.6769827729447557, 0.9425057582868883, 0.7174618728810725, 0.9523395545733914, 0.8721168503859913]",,
